iter	Logloss
0	0.6928083577
1	0.6924554133
2	0.6921345133
3	0.6917881449
4	0.6914472671
5	0.6911121829
6	0.6907737543
7	0.690447618
8	0.6901021423
9	0.6897560208
10	0.6894315767
11	0.6890944441
12	0.6887755219
13	0.6884330444
14	0.6880980544
15	0.6877713316
16	0.6874454216
17	0.6871089015
18	0.6867829715
19	0.686462463
20	0.6861234189
21	0.6857995728
22	0.6854765206
23	0.6851545871
24	0.684832884
25	0.6845194552
26	0.6842015418
27	0.6838950464
28	0.6835799259
29	0.6832592155
30	0.6829318547
31	0.6826151091
32	0.6823033415
33	0.6819902949
34	0.681673488
35	0.6813576398
36	0.6810393355
37	0.6807257898
38	0.680415117
39	0.6801002818
40	0.6797794536
41	0.6794693661
42	0.6791525483
43	0.6788292841
44	0.6785164759
45	0.6781961784
46	0.6778786221
47	0.6775793302
48	0.6772824144
49	0.6769856058
50	0.6766748683
51	0.6763565246
52	0.6760474457
53	0.6757434904
54	0.6754283818
55	0.6751124591
56	0.6748076867
57	0.6744999201
58	0.6741872097
59	0.6738854356
60	0.6735933115
61	0.6732900001
62	0.6729923579
63	0.6726991022
64	0.6723929085
65	0.6720937182
66	0.6717972278
67	0.6715048327
68	0.6712052888
69	0.6709103662
70	0.6706090953
71	0.6703167578
72	0.6700231908
73	0.6697320044
74	0.66944455
75	0.6691625751
76	0.6688736806
77	0.6685995729
78	0.6683014085
79	0.6680125123
80	0.667722346
81	0.6674318886
82	0.667133291
83	0.6668469393
84	0.6665512832
85	0.6662587228
86	0.6659794276
87	0.6656956447
88	0.6654218234
89	0.6651318988
90	0.6648423529
91	0.6645645849
92	0.6642859109
93	0.6640055281
94	0.6637196316
95	0.6634466122
96	0.6631639121
97	0.6628972606
98	0.6626236374
99	0.6623373159
100	0.6620625622
101	0.6617856048
102	0.6615169775
103	0.6612486284
104	0.6609770309
105	0.6606999532
106	0.6604456949
107	0.6601813787
108	0.6599167024
109	0.6596443777
110	0.6593608527
111	0.6590883074
112	0.6588190945
113	0.6585435324
114	0.6582783839
115	0.6580067368
116	0.6577473857
117	0.6574768828
118	0.6572069459
119	0.6569391505
120	0.6566870475
121	0.65642335
122	0.656162778
123	0.6559034749
124	0.6556412536
125	0.6553764454
126	0.6551097103
127	0.654853087
128	0.6545945256
129	0.6543270822
130	0.6540600848
131	0.6538035894
132	0.653544685
133	0.6532918155
134	0.653027459
135	0.6527757783
136	0.6525135467
137	0.652255367
138	0.6519973045
139	0.6517375981
140	0.6514921686
141	0.6512479875
142	0.6509966918
143	0.6507500452
144	0.6505028634
145	0.6502476615
146	0.6500058474
147	0.649761091
148	0.6495141672
149	0.649257391
150	0.6490146821
151	0.6487578304
152	0.6484990759
153	0.6482406792
154	0.6479995894
155	0.6477538985
156	0.6475133013
157	0.6472660875
158	0.647022516
159	0.6467802134
160	0.6465332871
161	0.6462852488
162	0.6460399812
163	0.645790769
164	0.6455462514
165	0.6453173484
166	0.645076934
167	0.644838387
168	0.644586197
169	0.6443409059
170	0.6440996006
171	0.6438626032
172	0.6436167736
173	0.6433854512
174	0.6431448725
175	0.6429005801
176	0.6426640099
177	0.642430377
178	0.6421885011
179	0.6419639623
180	0.6417232993
181	0.6414764747
182	0.6412410827
183	0.6410062709
184	0.6407785655
185	0.6405462478
186	0.6403262334
187	0.6401049323
188	0.639868324
189	0.6396443898
190	0.6394111654
191	0.6391919812
192	0.6389704724
193	0.6387457697
194	0.6385263953
195	0.6382937
196	0.6380799735
197	0.6378454839
198	0.6376166536
199	0.6373999575
200	0.637171972
201	0.6369588142
202	0.6367355651
203	0.6365185518
204	0.6362882606
205	0.6360830307
206	0.6358747293
207	0.6356596144
208	0.6354325781
209	0.6352131741
210	0.6349950931
211	0.6347656874
212	0.6345510987
213	0.6343468018
214	0.6341277099
215	0.6339117674
216	0.6336925553
217	0.6334730297
218	0.6332564441
219	0.6330428302
220	0.6328249471
221	0.6326134318
222	0.6324020202
223	0.6321869277
224	0.631968276
225	0.6317546104
226	0.6315414329
227	0.631322787
228	0.6311103564
229	0.6308982764
230	0.6306881815
231	0.6304775656
232	0.6302549112
233	0.630052334
234	0.6298409133
235	0.6296310819
236	0.6294223737
237	0.6292157145
238	0.6290147345
239	0.6288069373
240	0.6285991651
241	0.628386684
242	0.628175738
243	0.6279721493
244	0.6277770491
245	0.6275804499
246	0.6273733408
247	0.6271714581
248	0.6269696862
249	0.6267601145
250	0.6265553022
251	0.6263517667
252	0.6261428284
253	0.6259380552
254	0.6257355048
255	0.6255382821
256	0.6253431596
257	0.6251381927
258	0.6249438412
259	0.6247405489
260	0.6245492733
261	0.6243561683
262	0.6241615334
263	0.6239722364
264	0.623777384
265	0.6235807165
266	0.6233867319
267	0.6231841405
268	0.6229975125
269	0.6227940227
270	0.6226003935
271	0.6224035299
272	0.6222144095
273	0.622016395
274	0.6218343618
275	0.6216472055
276	0.6214600088
277	0.6212706485
278	0.621074647
279	0.6208792611
280	0.6206901507
281	0.6205012723
282	0.6203072292
283	0.6201158437
284	0.6199298042
285	0.6197421897
286	0.6195574843
287	0.6193662149
288	0.619184461
289	0.6190059785
290	0.6188258505
291	0.6186423316
292	0.6184692584
293	0.6182830929
294	0.6180951277
295	0.6179037578
296	0.6177272426
297	0.6175411639
298	0.617357705
299	0.6171797717
300	0.6169929773
301	0.616803736
302	0.6166266275
303	0.6164423432
304	0.6162540055
305	0.6160745337
306	0.6158958
307	0.6157191348
308	0.6155379294
309	0.6153606684
310	0.6151750204
311	0.6150032292
312	0.6148200026
313	0.6146445334
314	0.6144669185
315	0.6142939616
316	0.6141195427
317	0.613945163
318	0.6137853366
319	0.6136159233
320	0.6134352395
321	0.6132655329
322	0.6130897763
323	0.6129142259
324	0.6127415014
325	0.6125746754
326	0.6124011926
327	0.6122355159
328	0.6120641923
329	0.6118889944
330	0.6117075465
331	0.6115400055
332	0.6113717584
333	0.6112051403
334	0.6110344226
335	0.6108674212
336	0.6106985256
337	0.6105268792
338	0.6103527514
339	0.6101810754
340	0.6100087035
341	0.6098381827
342	0.609675354
343	0.6095204517
344	0.6093631505
345	0.6091976529
346	0.6090287333
347	0.6088680472
348	0.6087015637
349	0.6085395096
350	0.6083766051
351	0.608215925
352	0.6080489064
353	0.607892999
354	0.607734256
355	0.6075769254
356	0.6074136993
357	0.607245755
358	0.6070814426
359	0.6069121778
360	0.6067536666
361	0.6065964707
362	0.6064317082
363	0.6062704485
364	0.6061197527
365	0.6059659781
366	0.6058171622
367	0.6056613885
368	0.6055005781
369	0.605341113
370	0.6051863392
371	0.6050241232
372	0.6048762147
373	0.6047184427
374	0.6045550721
375	0.6044004155
376	0.6042476408
377	0.6040887679
378	0.6039383095
379	0.6037783961
380	0.6036251503
381	0.6034725875
382	0.603315297
383	0.6031591721
384	0.603003598
385	0.6028610279
386	0.6027013737
387	0.6025502937
388	0.6024059254
389	0.602244321
390	0.6020846357
391	0.6019312744
392	0.6017740513
393	0.6016180317
394	0.6014635291
395	0.601309102
396	0.6011569332
397	0.6010065607
398	0.6008489008
399	0.6006961765
400	0.6005616273
401	0.6004162855
402	0.6002642002
403	0.6001199977
404	0.5999702413
405	0.5998323713
406	0.5996835576
407	0.5995344243
408	0.5993908035
409	0.5992488512
410	0.5991087095
411	0.5989591179
412	0.5988175317
413	0.5986665431
414	0.598518241
415	0.5983750708
416	0.5982258294
417	0.5980790472
418	0.5979327674
419	0.5977942262
420	0.5976534853
421	0.5975061522
422	0.5973695966
423	0.5972265959
424	0.5970822198
425	0.5969380419
426	0.5968017406
427	0.5966741678
428	0.5965346744
429	0.5963922405
430	0.5962487911
431	0.5961034874
432	0.5959581539
433	0.5958157566
434	0.595673472
435	0.5955346163
436	0.595398636
437	0.5952640701
438	0.595122248
439	0.5949871395
440	0.594845994
441	0.5947053667
442	0.5945723971
443	0.594438747
444	0.5943006122
445	0.5941706079
446	0.5940356975
447	0.5939028392
448	0.5937604437
449	0.5936207777
450	0.5934966373
451	0.5933665529
452	0.5932297223
453	0.5930940189
454	0.5929559484
455	0.5928150794
456	0.5926852669
457	0.5925507454
458	0.5924144358
459	0.5922820983
460	0.5921577208
461	0.5920224354
462	0.5918929399
463	0.5917568296
464	0.5916279729
465	0.5914998873
466	0.5913715103
467	0.5912429811
468	0.591118939
469	0.5910002562
470	0.5908681827
471	0.5907480939
472	0.5906242386
473	0.5904969846
474	0.5903681335
475	0.5902446765
476	0.5901156948
477	0.5899933845
478	0.5898657988
479	0.5897324988
480	0.5896127952
481	0.5894810644
482	0.5893536245
483	0.5892300918
484	0.5890981446
485	0.588977184
486	0.5888583058
487	0.5887290579
488	0.588609231
489	0.5884914924
490	0.5883664275
491	0.5882421799
492	0.5881218955
493	0.5880094734
494	0.5878832313
495	0.5877567869
496	0.5876309272
497	0.5875133844
498	0.5873935509
499	0.5872712027
