iter	Passed	Remaining
0	4	4644
1	9	4938
2	16	5417
3	20	5209
4	26	5270
5	30	5129
6	34	4942
7	39	4928
8	44	4909
9	49	4883
10	54	4914
11	59	4880
12	64	4884
13	68	4854
14	73	4823
15	78	4800
16	83	4817
17	87	4767
18	92	4773
19	96	4745
20	101	4735
21	105	4699
22	110	4701
23	114	4642
24	118	4638
25	124	4671
26	129	4662
27	133	4650
28	139	4664
29	143	4648
30	148	4632
31	152	4616
32	157	4617
33	162	4618
34	167	4605
35	171	4602
36	176	4604
37	182	4610
38	187	4610
39	194	4659
40	198	4646
41	203	4643
42	209	4672
43	216	4695
44	221	4693
45	226	4690
46	231	4695
47	237	4703
48	241	4684
49	245	4664
50	249	4651
51	255	4662
52	259	4643
53	263	4622
54	268	4606
55	272	4593
56	277	4591
57	281	4568
58	285	4559
59	290	4554
60	295	4550
61	300	4539
62	305	4537
63	309	4533
64	313	4510
65	317	4496
66	322	4487
67	327	4485
68	331	4468
69	337	4487
70	343	4490
71	347	4477
72	351	4464
73	355	4447
74	359	4431
75	362	4412
76	368	4417
77	372	4404
78	377	4401
79	381	4387
80	386	4384
81	390	4371
82	395	4368
83	400	4362
84	404	4349
85	407	4333
86	412	4326
87	417	4325
88	421	4319
89	426	4312
90	430	4299
91	435	4297
92	441	4301
93	445	4289
94	449	4278
95	453	4269
96	457	4257
97	461	4251
98	467	4258
99	472	4252
100	476	4243
101	481	4240
102	485	4229
103	489	4218
104	494	4214
105	500	4219
106	505	4215
107	508	4202
108	512	4191
109	518	4192
110	522	4181
111	526	4174
112	531	4171
113	536	4166
114	541	4170
115	546	4166
116	551	4159
117	555	4154
118	559	4144
119	564	4137
120	568	4129
121	572	4119
122	576	4107
123	581	4105
124	586	4104
125	590	4092
126	594	4085
127	599	4084
128	603	4073
129	607	4065
130	613	4066
131	617	4061
132	621	4050
133	625	4040
134	630	4039
135	635	4036
136	640	4031
137	644	4025
138	649	4026
139	654	4019
140	658	4009
141	662	4004
142	667	4001
143	672	3994
144	677	3995
145	682	3994
146	686	3985
147	691	3981
148	697	3985
149	702	3978
150	705	3968
151	709	3959
152	714	3955
153	719	3955
154	724	3948
155	729	3948
156	736	3955
157	740	3946
158	746	3947
159	751	3943
160	755	3936
161	759	3931
162	764	3925
163	768	3918
164	772	3908
165	776	3900
166	781	3897
167	785	3891
168	789	3882
169	795	3883
170	799	3876
171	803	3867
172	808	3865
173	812	3857
174	816	3850
175	820	3843
176	825	3838
177	830	3833
178	833	3824
179	837	3815
180	842	3812
181	847	3808
182	851	3799
183	854	3789
184	860	3789
185	864	3784
186	869	3781
187	876	3787
188	882	3785
189	888	3786
190	894	3790
191	899	3783
192	902	3774
193	907	3772
194	913	3769
195	917	3762
196	920	3753
197	925	3748
198	929	3742
199	933	3734
200	939	3733
201	944	3732
202	948	3723
203	953	3719
204	957	3713
205	963	3712
206	966	3704
207	971	3697
208	975	3693
209	980	3688
210	984	3681
211	990	3680
212	994	3672
213	998	3666
214	1002	3659
215	1006	3654
216	1011	3648
217	1014	3640
218	1018	3632
219	1023	3628
220	1027	3622
221	1031	3616
222	1036	3611
223	1041	3609
224	1046	3604
225	1051	3600
226	1056	3596
227	1061	3592
228	1065	3586
229	1069	3581
230	1075	3579
231	1080	3576
232	1084	3568
233	1088	3564
234	1093	3560
235	1098	3554
236	1103	3552
237	1109	3553
238	1114	3547
239	1119	3544
240	1123	3539
241	1128	3535
242	1133	3531
243	1138	3525
244	1144	3525
245	1149	3522
246	1153	3517
247	1159	3517
248	1164	3510
249	1168	3505
250	1174	3505
251	1178	3499
252	1182	3492
253	1187	3487
254	1192	3483
255	1196	3477
256	1200	3470
257	1204	3464
258	1208	3458
259	1212	3451
260	1216	3444
261	1221	3439
262	1225	3434
263	1229	3428
264	1233	3422
265	1238	3416
266	1242	3411
267	1246	3404
268	1251	3399
269	1255	3393
270	1259	3388
271	1263	3381
272	1269	3379
273	1273	3375
274	1278	3371
275	1283	3366
276	1287	3359
277	1291	3354
278	1295	3348
279	1300	3343
280	1305	3339
281	1308	3332
282	1312	3325
283	1317	3321
284	1321	3316
285	1325	3309
286	1329	3303
287	1334	3299
288	1338	3292
289	1342	3287
290	1347	3283
291	1352	3279
292	1355	3271
293	1359	3265
294	1366	3265
295	1371	3260
296	1374	3253
297	1379	3250
298	1384	3246
299	1389	3241
300	1393	3234
301	1397	3230
302	1401	3224
303	1405	3217
304	1410	3213
305	1414	3207
306	1419	3203
307	1423	3198
308	1428	3193
309	1432	3187
310	1436	3183
311	1441	3178
312	1446	3174
313	1449	3167
314	1453	3160
315	1457	3155
316	1463	3153
317	1467	3147
