iter	Passed	Remaining
0	173	17144
1	197	9675
2	222	7202
3	249	5981
4	275	5240
5	301	4729
6	327	4349
7	350	4025
8	375	3798
9	396	3567
10	423	3422
11	443	3255
12	465	3111
13	489	3007
14	512	2905
15	536	2816
16	560	2735
17	585	2669
18	607	2587
19	626	2505
20	646	2431
21	668	2369
22	691	2313
23	713	2258
24	726	2178
25	748	2129
26	766	2071
27	789	2029
28	815	1997
29	845	1971
30	871	1940
31	900	1913
32	928	1884
33	953	1850
34	981	1823
35	1009	1793
36	1034	1760
37	1058	1726
38	1084	1696
39	1118	1677
40	1143	1645
41	1163	1606
42	1185	1572
43	1207	1536
44	1229	1502
45	1250	1468
46	1272	1435
47	1294	1402
48	1317	1371
49	1339	1339
50	1362	1308
51	1386	1279
52	1406	1247
53	1427	1215
54	1450	1186
55	1474	1158
56	1499	1131
57	1523	1103
58	1547	1075
59	1570	1046
60	1591	1017
61	1614	989
62	1639	963
63	1661	934
64	1682	905
65	1704	878
66	1726	850
67	1747	822
68	1767	793
69	1790	767
70	1813	740
71	1840	715
72	1863	689
73	1885	662
74	1904	634
75	1924	607
76	1945	581
77	1967	554
78	2093	556
79	2146	536
80	2170	509
81	2193	481
82	2216	454
83	2237	426
84	2259	398
85	2283	371
86	2307	344
87	2330	317
88	2354	291
89	2380	264
90	2406	238
91	2433	211
92	2460	185
93	2485	158
94	2511	132
95	2531	105
96	2557	79
97	2576	52
98	2595	26
99	2613	0
